Park Name,1979 Recreational Visits,1979 Average Recreational Visits,1979 Non-Recreational Visits,1979 Average Non-Recreational Visits,1979 Recreational Hours,1979 Average Recreational Hours,1979 Non-Recreational Hours,1979 Average Non-Recreational Hours,1979 Concessioner Lodging,1979 Average Concessioner Lodging,1979 Concessioner Camping,1979 Average Concessioner Camping,1979 Tent Overnights,1979 Average Tent Overnights,1979 RV Overnights,1979 Average RV Overnights,1979 Backcountry Overnights,1979 Average Backcountry Overnights,1979 Non-recreational Overnights,1979 Average Non-recreational Overnights,1979 Miscellaneous Overnights,1979 Average Miscellaneous Overnights
Abraham Lincoln Birthplace NHP,"271,231","271,231",0,0,"271,231","271,231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acadia NP,"2,787,366","2,787,366","395,913","395,913","17,155,530","17,155,530","198,056","198,056",0,0,0,0,"139,708","139,708","74,279","74,279",0,0,0,0,0,0
Adams NHP,"34,322","34,322","12,200","12,200","25,739","25,739","22,500","22,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agate Fossil Beds NM,"8,115","8,115",31,31,"8,532","8,532",46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alibates Flint Quarries NM,"1,922","1,922",0,0,"4,805","4,805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegheny Portage Railroad NHS,"58,225","58,225",500,500,"48,338","48,338",500,500,0,0,0,0,33,33,0,0,0,0,0,0,0,0
Amistad NRA,"1,261,846","1,261,846","28,510","28,510","8,474,821","8,474,821","28,510","28,510",0,0,0,0,"23,968","23,968","50,588","50,588","17,757","17,757",0,0,0,0
Andersonville NHS,"151,123","151,123",0,0,"302,246","302,246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Johnson NHS,"47,674","47,674",0,0,"20,417","20,417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antietam NB,"319,610","319,610",0,0,"659,008","659,008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,649","1,649"
Apostle Islands NL,"75,629","75,629",951,951,"456,846","456,846",237,237,0,0,0,0,"3,312","3,312",0,0,"1,093","1,093",0,0,"9,207","9,207"
Appomattox Court House NHP,"208,411","208,411",0,0,"175,288","175,288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,122
Arches NP,"269,840","269,840",0,0,"1,825,420","1,825,420",0,0,0,0,0,0,"18,772","18,772","17,605","17,605","2,332","2,332",0,0,"3,759","3,759"
Arkansas Post NMEM,"61,507","61,507",0,0,"92,261","92,261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington House The R.E. Lee MEM,"459,346","459,346",0,0,"229,672","229,672",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assateague Island NS,"1,674,861","1,674,861","3,100","3,100","12,503,303","12,503,303","2,350","2,350",0,0,0,0,"24,421","24,421","16,959","16,959","11,506","11,506",0,0,"14,326","14,326"
Aztec Ruins NM,"58,064","58,064",0,0,"87,096","87,096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Badlands NP,"858,000","858,000","12,000","12,000","3,487,073","3,487,073","6,080","6,080","3,595","3,595",0,0,"3,786","3,786","3,496","3,496",856,856,11,11,0,0
Bandelier NM,"161,336","161,336",810,810,"1,051,603","1,051,603",207,207,0,0,0,0,"11,121","11,121","6,791","6,791","3,938","3,938",0,0,0,0
Bent's Old Fort NHS,"94,653","94,653","3,125","3,125","122,076","122,076","28,125","28,125",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Bend NP,"282,941","282,941","57,748","57,748","8,058,547","8,058,547","346,488","346,488","24,439","24,439","14,589","14,589","38,013","38,013","44,730","44,730","33,927","33,927",0,0,"43,349","43,349"
Big Hole NB,"41,186","41,186",0,0,"81,148","81,148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bighorn Canyon NRA,"297,152","297,152","30,825","30,825","1,717,259","1,717,259","30,825","30,825",0,0,0,0,"2,715","2,715","13,932","13,932",528,528,0,0,"1,492","1,492"
Biscayne NP,"202,938","202,938",0,0,"1,484,660","1,484,660",0,0,0,0,0,0,"2,232","2,232",0,0,0,0,0,0,"53,844","53,844"
Black Canyon of the Gunnison NP,"234,286","234,286",0,0,"728,525","728,525",0,0,0,0,0,0,"11,925","11,925","11,652","11,652","1,404","1,404",0,0,0,0
Blue Ridge PKWY,"11,700,219","11,700,219","3,065,870","3,065,870","100,024,890","100,024,890","1,532,941","1,532,941","64,138","64,138",0,0,"71,698","71,698","112,759","112,759","1,531","1,531",0,0,"4,485","4,485"
Booker T. Washington NM,"25,507","25,507",175,175,"25,832","25,832",44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston NHP,"1,777,391","1,777,391","505,119","505,119","888,694","888,694","252,557","252,557",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Canyon NP,"558,095","558,095",982,982,"4,973,494","4,973,494","25,040","25,040","26,145","26,145",0,0,"47,916","47,916","48,403","48,403",871,871,0,0,"8,794","8,794"
Buck Island Reef NM,"82,390","82,390","10,794","10,794","434,199","434,199","48,573","48,573",0,0,0,0,0,0,0,0,0,0,0,0,"3,046","3,046"
Buffalo NR,"675,832","675,832",0,0,"3,240,352","3,240,352",0,0,"7,343","7,343",0,0,"24,885","24,885","30,564","30,564","6,595","6,595",0,0,"31,828","31,828"
Cabrillo NM,"1,196,447","1,196,447","73,377","73,377","1,705,353","1,705,353","18,346","18,346",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canaveral NS,"859,943","859,943",0,0,"2,168,669","2,168,669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canyon de Chelly NM,"328,097","328,097","395,463","395,463","2,634,774","2,634,774","364,059","364,059","17,855","17,855",0,0,"13,855","13,855","21,281","21,281",131,131,138,138,"3,285","3,285"
Canyonlands NP,"74,545","74,545",588,588,"1,425,466","1,425,466","2,359","2,359",0,0,0,0,"7,223","7,223","5,213","5,213","39,819","39,819",8,8,"2,374","2,374"
Cape Cod NS,"3,921,968","3,921,968","25,385","25,385","7,765,237","7,765,237","152,310","152,310","8,811","8,811",0,0,0,0,0,0,0,0,0,0,"27,731","27,731"
Cape Hatteras NS,"1,516,879","1,516,879","193,737","193,737","13,091,478","13,091,478","510,221","510,221",0,0,0,0,"145,399","145,399","119,103","119,103",0,0,"4,807","4,807","21,004","21,004"
Cape Lookout NS,"50,106","50,106","4,042","4,042","578,713","578,713","9,039","9,039","10,807","10,807",0,0,0,0,0,0,"3,103","3,103","2,514","2,514","7,411","7,411"
Capitol Reef NP,"288,860","288,860","28,200","28,200","619,611","619,611","3,921","3,921",0,0,0,0,"10,976","10,976","16,501","16,501","2,063","2,063",0,0,"2,023","2,023"
Capulin Volcano NM,"44,297","44,297",0,0,"56,287","56,287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carl Sandburg Home NHS,"34,062","34,062",0,0,"48,763","48,763",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlsbad Caverns NP,"721,647","721,647",0,0,"2,508,256","2,508,256",0,0,0,0,0,0,0,0,0,0,"1,570","1,570",0,0,0,0
Casa Grande Ruins NM,"112,482","112,482","2,118","2,118","95,348","95,348",210,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castillo de San Marcos NM,"650,095","650,095","13,002","13,002","487,571","487,571","3,251","3,251",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castle Clinton NM,"216,996","216,996","1,011","1,011","108,469","108,469",170,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catoctin Mountain Park,"431,541","431,541","109,715","109,715","1,468,150","1,468,150","27,392","27,392",0,0,0,0,"6,925","6,925","4,593","4,593",190,190,0,0,"42,575","42,575"
Cedar Breaks NM,"362,178","362,178","4,022","4,022","726,336","726,336","8,044","8,044",0,0,0,0,447,447,885,885,0,0,0,0,0,0
Chaco Culture NHP,"48,810","48,810","3,051","3,051","416,380","416,380","1,018","1,018",0,0,0,0,"6,095","6,095","3,328","3,328",0,0,0,0,"1,735","1,735"
Chamizal NMEM,"111,129","111,129","1,056","1,056","242,172","242,172","3,697","3,697",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Channel Islands NP,"82,937","82,937","20,574","20,574","627,362","627,362","251,678","251,678",0,0,0,0,"1,938","1,938",0,0,0,0,"7,560","7,560","8,293","8,293"
Chesapeake & Ohio Canal NHP,"2,832,646","2,832,646","81,614","81,614","10,041,329","10,041,329","39,040","39,040",0,0,0,0,"12,199","12,199","3,011","3,011","47,263","47,263",0,0,0,0
Chickamauga & Chattanooga NMP,"866,933","866,933","12,604,608","12,604,608","582,185","582,185","1,050,384","1,050,384",0,0,0,0,0,0,0,0,0,0,0,0,"1,865","1,865"
Chickasaw NRA,"1,434,484","1,434,484","2,559,581","2,559,581","5,472,855","5,472,855","109,098","109,098",0,0,0,0,"38,556","38,556","37,318","37,318",0,0,0,0,"25,947","25,947"
Chiricahua NM,"49,484","49,484",0,0,"294,595","294,595",0,0,0,0,0,0,"3,667","3,667","8,616","8,616",0,0,0,0,375,375
Christiansted NHS,"90,790","90,790",0,0,"45,141","45,141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clara Barton NHS,"7,520","7,520",0,0,"7,520","7,520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colonial NHP,"7,172,127","7,172,127","3,073,769","3,073,769","10,755,488","10,755,488","1,536,889","1,536,889",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado NM,"290,584","290,584","475,161","475,161","921,224","921,224","240,665","240,665",0,0,0,0,"9,271","9,271","10,495","10,495",89,89,217,217,0,0
Coronado NMEM,"59,751","59,751","1,793","1,793","43,469","43,469",898,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cowpens NB,"78,441","78,441",0,0,"19,610","19,610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crater Lake NP,"410,749","410,749","35,648","35,648","2,640,954","2,640,954","17,828","17,828","18,097","18,097",0,0,"8,320","8,320","34,677","34,677","2,692","2,692",0,0,0,0
Craters of the Moon NM & PRES,"220,698","220,698",0,0,"565,109","565,109",0,0,0,0,0,0,"3,909","3,909","9,177","9,177",252,252,0,0,361,361
Cumberland Gap NHP,"452,889","452,889","1,185","1,185","577,256","577,256",945,945,0,0,0,0,"4,604","4,604","6,008","6,008","2,322","2,322",0,0,"2,300","2,300"
Cumberland Island NS,"35,811","35,811",0,0,"214,866","214,866",0,0,0,0,0,0,"10,061","10,061",0,0,0,0,0,0,"7,165","7,165"
Curecanti NRA,"809,007","809,007",0,0,"2,726,871","2,726,871",0,0,0,0,0,0,"10,570","10,570","87,037","87,037",356,356,0,0,0,0
Cuyahoga Valley NP,"543,025","543,025",0,0,"1,358,450","1,358,450",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Soto NMEM,"179,738","179,738",0,0,"298,711","298,711",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Death Valley NP,"631,152","631,152","26,297","26,297","7,652,286","7,652,286","39,245","39,245","25,906","25,906","4,431","4,431","63,050","63,050","231,902","231,902",636,636,0,0,"6,263","6,263"
Delaware Water Gap NRA,"2,002,543","2,002,543",0,0,"8,570,369","8,570,369",0,0,472,472,0,0,0,0,0,0,"39,815","39,815",0,0,"28,810","28,810"
Denali NP & PRES,"251,105","251,105","287,291","287,291","1,857,616","1,857,616","43,094","43,094","33,054","33,054",0,0,"38,663","38,663","41,442","41,442","29,531","29,531",0,0,"3,345","3,345"
Devils Postpile NM,"81,323","81,323",0,0,"521,798","521,798",0,0,0,0,0,0,980,980,654,654,"1,426","1,426",0,0,0,0
Devils Tower NM,"226,091","226,091","1,469","1,469","518,898","518,898",734,734,0,0,0,0,"10,107","10,107","9,256","9,256",0,0,0,0,0,0
Dinosaur NM,"295,837","295,837","15,968","15,968","1,593,434","1,593,434","41,884","41,884",0,0,0,0,"15,250","15,250","17,416","17,416","25,411","25,411",0,0,997,997
Dry Tortugas NP,"9,076","9,076","10,595","10,595","229,902","229,902","247,848","247,848",0,0,0,0,"2,108","2,108",0,0,0,0,"10,912","10,912","11,181","11,181"
Effigy Mounds NM,"59,064","59,064",0,0,"89,015","89,015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Morro NM,"29,635","29,635","2,540","2,540","69,604","69,604",420,420,0,0,0,0,965,965,"1,208","1,208",0,0,0,0,153,153
Everglades NP,"718,102","718,102","120,511","120,511","5,377,623","5,377,623","482,044","482,044","43,141","43,141",0,0,"28,775","28,775","72,065","72,065","17,909","17,909",0,0,"3,978","3,978"
Federal Hall NMEM,"83,680","83,680","2,880","2,880","41,843","41,843",480,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fire Island NS,"465,268","465,268","205,380","205,380","2,413,930","2,413,930","616,140","616,140",0,0,0,0,"12,654","12,654",0,0,0,0,0,0,"50,691","50,691"
Florissant Fossil Beds NM,"46,919","46,919",0,0,"32,643","32,643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford's Theatre NHS,"518,345","518,345",300,300,"489,189","489,189",600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Bowie NHS,"5,827","5,827",66,66,"12,070","12,070",132,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Caroline NMEM,"169,209","169,209",0,0,"169,209","169,209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Davis NHS,"72,465","72,465",297,297,"76,095","76,095",249,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Donelson NB,"317,415","317,415","755,543","755,543","203,454","203,454","11,684","11,684",0,0,0,0,0,0,0,0,0,0,0,0,52,52
Fort Frederica NM,"392,405","392,405",540,540,"385,705","385,705",132,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Laramie NHS,"106,583","106,583",365,365,"160,316","160,316",544,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Larned NHS,"22,908","22,908",0,0,"45,816","45,816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Matanzas NM,"251,507","251,507",0,0,"241,600","241,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort McHenry NM & HS,"543,543","543,543",720,720,"815,318","815,318",360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Necessity NB,"108,058","108,058",120,120,"150,842","150,842",48,48,0,0,0,0,0,0,0,0,0,0,0,0,303,303
Fort Point NHS,"872,177","872,177",0,0,"661,021","661,021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,018","1,018"
Fort Pulaski NM,"276,608","276,608","7,100","7,100","700,252","700,252","66,200","66,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Raleigh NHS,"305,153","305,153","3,600","3,600","469,836","469,836","3,600","3,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Scott NHS,"12,008","12,008",572,572,"9,005","9,005",187,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Smith NHS,"90,584","90,584",0,0,"52,838","52,838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Stanwix NM,"68,288","68,288",0,0,"97,984","97,984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Sumter and Fort Moultrie NHP,"185,582","185,582",0,0,"226,442","226,442",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Union NM,"10,435","10,435",0,0,"12,313","12,313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Union Trading Post NHS,"6,368","6,368",118,118,"3,182","3,182",56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Vancouver NHS,"156,749","156,749","46,934","46,934","123,765","123,765","2,346","2,346",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Washington Park,"496,921","496,921",0,0,"1,987,684","1,987,684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,287
