Park Name,1990 Recreational Visits,1991 Recreational Visits,1992 Recreational Visits,1993 Recreational Visits,1994 Recreational Visits,1995 Recreational Visits,1996 Recreational Visits,1997 Recreational Visits,1998 Recreational Visits,1999 Recreational Visits,1990 - 1999 Average Recreational Visits,1990 Non-Recreational Visits,1991 Non-Recreational Visits,1992 Non-Recreational Visits,1993 Non-Recreational Visits,1994 Non-Recreational Visits,1995 Non-Recreational Visits,1996 Non-Recreational Visits,1997 Non-Recreational Visits,1998 Non-Recreational Visits,1999 Non-Recreational Visits,1990 - 1999 Average Non-Recreational Visits,1990 Recreational Hours,1991 Recreational Hours,1992 Recreational Hours,1993 Recreational Hours,1994 Recreational Hours,1995 Recreational Hours,1996 Recreational Hours,1997 Recreational Hours,1998 Recreational Hours,1999 Recreational Hours,1990 - 1999 Average Recreational Hours,1990 Non-Recreational Hours,1991 Non-Recreational Hours,1992 Non-Recreational Hours,1993 Non-Recreational Hours,1994 Non-Recreational Hours,1995 Non-Recreational Hours,1996 Non-Recreational Hours,1997 Non-Recreational Hours,1998 Non-Recreational Hours,1999 Non-Recreational Hours,1990 - 1999 Average Non-Recreational Hours,1990 Concessioner Lodging,1991 Concessioner Lodging,1992 Concessioner Lodging,1993 Concessioner Lodging,1994 Concessioner Lodging,1995 Concessioner Lodging,1996 Concessioner Lodging,1997 Concessioner Lodging,1998 Concessioner Lodging,1999 Concessioner Lodging,1990 - 1999 Average Concessioner Lodging,1990 Concessioner Camping,1991 Concessioner Camping,1992 Concessioner Camping,1993 Concessioner Camping,1994 Concessioner Camping,1995 Concessioner Camping,1996 Concessioner Camping,1997 Concessioner Camping,1998 Concessioner Camping,1999 Concessioner Camping,1990 - 1999 Average Concessioner Camping,1990 Tent Overnights,1991 Tent Overnights,1992 Tent Overnights,1993 Tent Overnights,1994 Tent Overnights,1995 Tent Overnights,1996 Tent Overnights,1997 Tent Overnights,1998 Tent Overnights,1999 Tent Overnights,1990 - 1999 Average Tent Overnights,1990 RV Overnights,1991 RV Overnights,1992 RV Overnights,1993 RV Overnights,1994 RV Overnights,1995 RV Overnights,1996 RV Overnights,1997 RV Overnights,1998 RV Overnights,1999 RV Overnights,1990 - 1999 Average RV Overnights,1990 Backcountry Overnights,1991 Backcountry Overnights,1992 Backcountry Overnights,1993 Backcountry Overnights,1994 Backcountry Overnights,1995 Backcountry Overnights,1996 Backcountry Overnights,1997 Backcountry Overnights,1998 Backcountry Overnights,1999 Backcountry Overnights,1990 - 1999 Average Backcountry Overnights,1990 Non-recreational Overnights,1991 Non-recreational Overnights,1992 Non-recreational Overnights,1993 Non-recreational Overnights,1994 Non-recreational Overnights,1995 Non-recreational Overnights,1996 Non-recreational Overnights,1997 Non-recreational Overnights,1998 Non-recreational Overnights,1999 Non-recreational Overnights,1990 - 1999 Average Non-recreational Overnights,1990 Miscellaneous Overnights,1991 Miscellaneous Overnights,1992 Miscellaneous Overnights,1993 Miscellaneous Overnights,1994 Miscellaneous Overnights,1995 Miscellaneous Overnights,1996 Miscellaneous Overnights,1997 Miscellaneous Overnights,1998 Miscellaneous Overnights,1999 Miscellaneous Overnights,1990 - 1999 Average Miscellaneous Overnights
Abraham Lincoln Birthplace NHP,"307,669","316,945","302,739","293,710","279,542","268,509","249,344","262,889","250,842","251,204","278,339",0,0,0,0,0,0,0,0,0,0,0,"307,669","316,945","302,739","293,710","279,542","268,509","249,344","262,889","250,842","251,204","278,339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acadia NP,"2,339,591","2,475,857","2,382,113","2,656,034","2,710,749","2,845,378","2,704,831","2,760,306","2,594,497","2,602,227","2,607,158","252,546","252,576","252,576","252,576","252,576","252,576","252,576","252,576","252,576","252,576","252,573","12,738,818","13,198,380","12,689,318","14,140,929","14,431,349","15,169,080","14,442,606","14,702,522","13,838,352","13,910,921","13,926,228","252,576","252,576","252,576","252,576","252,576","252,576","252,576","252,576","252,576","252,576","252,576",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"126,135","140,760","128,478","130,287","129,483","129,351","108,939","115,935","135,507","125,046","126,992","29,724","30,222","31,437","32,094","29,025","29,616","35,526","28,512","23,544","23,682","29,338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,748","9,581","9,796","10,518","10,511","10,476","9,512","10,286","11,111","10,218","10,176"
Adams NHP,"20,315","26,958","27,400","43,877","41,179","47,312","38,230","56,643","63,569","84,574","45,006","14,987",358,982,690,"1,061","1,407","1,305","1,063",947,984,"2,378","15,238","20,009","20,522","50,517","44,591","44,389","35,280","52,125","58,943","76,985","41,860","7,494",181,455,348,535,707,655,534,475,493,"1,188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agate Fossil Beds NM,"14,482","13,891","18,785","19,467","18,970","18,719","16,567","20,596","17,594","18,117","17,719","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000",0,"8,100","18,716","17,278","24,601","28,381","25,805","25,036","22,227","29,940","41,269","44,590","27,784",756,756,756,756,756,756,756,756,756,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alibates Flint Quarries NM,"3,418","3,812","3,419","3,155","3,392","2,769","3,276","3,363","3,293","3,047","3,294",0,0,0,0,0,0,0,0,0,0,0,"8,546","9,944","8,540","7,891","8,483","6,926","8,193","8,410","8,235","7,621","8,279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegheny Portage Railroad NHS,"131,735","154,816","183,473","189,009","160,394","145,307","139,446","121,841","111,100","111,391","144,851","1,260","1,500","1,794",180,180,180,180,180,180,180,581,"160,628","188,511","211,202","196,817","175,979","162,625","152,560","129,085","121,024","121,158","161,959","1,260","1,500","1,794",48,48,48,48,48,48,48,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amistad NRA,"1,306,474","1,215,691","1,559,659","1,505,084","1,591,903","1,422,321","1,238,990","1,084,433","1,129,811","1,164,166","1,321,853","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","9,801,626","9,142,849","11,944,099","11,562,047","12,117,656","10,792,467","9,369,082","8,291,866","8,545,197","8,800,573","10,036,746","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,969","3,981","10,278","10,951","9,234","6,497","4,849","6,146","3,873","6,535","6,531","12,597","11,586","28,293","29,260","25,479","23,702","19,361","20,187","16,413","14,702","20,158","3,324","3,541","5,011","5,200","4,006","2,793","2,098","3,392","3,189","2,969","3,552",0,0,0,0,0,0,0,0,0,0,0,"3,143","3,255","2,970","2,504","2,683","1,138",736,"1,569","1,327",978,"2,030"
Andersonville NHS,"131,406","151,408","143,025","136,567","162,279","156,581","197,394","196,340","225,653","182,539","168,319",0,0,0,0,0,0,0,0,0,0,0,"262,812","302,816","286,050","273,134","324,558","313,162","394,788","392,680","451,306","365,078","336,638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Johnson NHS,"71,017","82,076","64,481","41,703","59,538","63,196","59,102","67,309","60,207","51,779","62,041",0,0,0,0,0,0,0,0,0,0,0,"25,622","29,180","24,069","30,740","34,499","35,449","33,574","37,077","35,769","33,169","31,915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aniakchak NM & PRES,967,"1,469","1,638","1,593","1,193",0,,,209,377,931,51,9,8,12,107,0,,,47,115,44,"38,866","31,451","36,380","30,174","29,672",0,,,"5,760","15,216","23,440","1,664",72,"1,416","3,408","1,528",0,,,376,920,"1,173",0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,"1,140",913,975,"1,163",993,0,,,240,620,756,61,0,59,142,28,0,,,0,0,36,0,0,0,0,0,0,,,0,0,0
Antietam NB,"217,249","263,110","243,707","181,909","237,821","215,914","246,082","275,639","275,385","268,897","242,571",0,0,0,0,0,0,0,0,0,0,0,"570,464","693,920","649,618","533,588","591,092","520,178","708,584","625,628","619,420","656,914","616,941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,899","3,362","3,063","3,659","2,915","1,595","3,894","2,045","1,855","2,204","2,849"
Apostle Islands NL,"140,980","141,038","113,106","129,793","147,376","167,909","168,614","183,636","236,829","193,260","162,254",895,780,844,891,"1,054","1,054","1,054","1,054","1,054","1,054",973,"748,858","750,689","572,954","672,261","749,606","866,538","843,380","906,507","1,226,069","942,180","827,904",223,195,212,226,267,267,267,267,267,267,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,824","8,669","7,387","9,214","10,958","12,401","13,120","12,897","15,321","15,250","11,304",0,0,0,0,0,0,0,0,0,0,0,"17,942","17,692","12,805","15,010","15,941","18,793","16,567","17,471","27,356","17,846","17,742"
Appomattox Court House NHP,"402,947","321,668","311,921","211,557","273,768","223,288","205,938","204,862","201,874","198,665","255,649",0,0,0,0,0,0,0,0,0,0,0,"325,727","260,236","252,286","175,228","226,755","184,945","170,574","169,687","167,209","164,546","209,719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arches NP,"620,719","705,882","799,831","773,678","777,178","859,374","856,016","858,525","837,161","869,980","795,834",0,0,0,0,0,0,0,0,0,0,0,"3,258,165","3,507,846","3,795,573","3,506,849","3,578,970","3,705,909","3,663,763","3,715,704","3,710,443","3,787,746","3,623,097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,632","29,698","32,777","30,028","28,835","27,963","27,266","28,229","30,348","26,984","29,376","16,870","17,871","15,893","12,002","13,039","12,437","12,905","13,284","13,618","15,520","14,344","2,228","2,850","3,033","2,289","1,267",868,555,728,420,817,"1,506",0,0,0,0,0,0,0,0,0,0,0,"7,707","7,835","6,467","5,090","8,837","5,723","4,931","5,264","5,569","5,754","6,318"
Arkansas Post NMEM,"78,468","81,388","51,594","51,604","46,655","40,361","47,919","50,422","51,858","49,087","54,936",0,0,0,0,0,0,0,0,0,0,0,"117,703","122,085","79,823","78,812","70,597","60,545","71,900","75,690","77,807","73,634","82,860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,197,135,78,34,0,1,3,1,0,50
Arlington House The R.E. Lee MEM,"463,467","483,440","459,660","496,526","494,048","559,509","409,143","428,347","511,200","476,911","478,225",0,0,0,0,0,0,0,0,0,0,0,"231,734","241,722","229,836","248,271","247,031","279,758","204,580","214,179","255,604","238,460","239,118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
