OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,UNITNAME,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
4,Double O Arch Trail,,Double O Arch Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,Arches National Park,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,372f5718-c8f4-47d9-af19-2bce73790c70
6,Broken Arch Trail,,Broken Arch Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,Arches National Park,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,8cfebbbc-538f-4044-ac27-e8cb5ffe4a16
10,Upper Delicate Arch Viewpoint Trail,,Upper Delicate Arch Viewpoint Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,Arches National Park,2015-10-02T00:00:00.000Z,Autonomous GPS,,,,Yes,e6f42775-cd1a-41ac-91d0-b61b39c5a4c0
11,Devils Garden Trail,,Devils Garden Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,Arches National Park,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,60c79b65-4030-40d2-b2ea-bc034dac6194
12,Partition Arch Trail,,Partition Arch Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,Arches National Park,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,a3dfd414-d486-4152-94de-38edd2387d91
13,Navajo Arch Trail,,Navajo Arch Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,Arches National Park,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,34e5cede-236d-4af1-a766-57fb31e2d628
14,Tunnel Arch Trail,,Tunnel Arch Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,Arches National Park,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,78c89a18-c5a2-4ce7-8591-aff4f20fc454
15,Pine Tree Arch Trail,,Pine Tree Arch Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,Arches National Park,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,5395e229-479a-4463-9bda-0b6d3de2255f
16,Delicate Arch Viewpoint Trail,,Delicate Arch Viewpoint Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,Arches National Park,2015-10-02T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,49758568-1f3c-430b-bdbf-31b9d28e1a3e
17,Delicate Arch Trail,,Delicate Arch Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,Arches National Park,2015-10-02T00:00:00.000Z,Unknown,<Null>,,,Yes,54a5b0de-e9b7-4e49-bc35-cca96140a526
