OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,UNITNAME,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
102,Navajo Loop Trail,,Navajo Loop Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,Bryce Canyon National Park,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,92f55a4f-34ec-4ce3-843a-34f3b7e58021
103,Sheep Creek Trail,,Sheep Creek Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,Bryce Canyon National Park,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,00f8077b-2102-47e2-86a4-42375cf404f0
104,Swamp Canyon Connect Trail,,Swamp Canyon Connect Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,Bryce Canyon National Park,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,dc021c74-af2a-411b-b1b8-c95816426160
105,Swamp Canyon Loop Trail,,Swamp Canyon Loop Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,Bryce Canyon National Park,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,4a40accd-da23-4340-914d-1cfe14a00254
106,Tower Bridge Trail,,Tower Bridge Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,Bryce Canyon National Park,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,33705fe6-a62e-44ea-8124-bdb8927394b2
107,Tropic Trail ,,Tropic Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,Bryce Canyon National Park,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,2d03b03b-b45e-4c57-95e3-c5c19ecc8edc
108,Fairyland Loop Spur Trail,,Fairyland Loop Spur Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,Bryce Canyon National Park,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,aa8fcbbc-dfac-4d1b-9220-51591b3a875b
109,Navajo Loop to Peek A Boo Connector,,Navaho Loop to Peek A Boo Connector,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,Bryce Canyon National Park,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,0e1a7432-d9fd-4b84-ab7d-bf2300d6228d
110,Queens Garden Trail,,Queens Garden Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,Bryce Canyon National Park,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,d4de8df7-a5f8-48d6-a07b-419c52e6f9f4
111,Bull Rush Hollow Trail,,Bull Rush Hollow Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,Bryce Canyon National Park,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,890ebf03-1e3a-4576-8624-0e1ada4ee4a5
112,Riggs Spring Loop Trail,,Riggs Spring Loop Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,Bryce Canyon National Park,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,ce294f80-5f4b-451c-898c-047b6d246a9e
113,Agua Canyon Connect Trail,,Agua Canyon Connect Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,Bryce Canyon National Park,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,79e9f23a-6d91-4dd5-a438-3f84727b17ed
114,Rim Trail,,Rim Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,Bryce Canyon National Park,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,6ee57cd2-ac8a-4eac-88a5-74e1dcc15ac2
115,Paria View Trail,,Paria View Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,Bryce Canyon National Park,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,8cfbaf93-ba9f-4ef5-9874-6e0da691e68c
116,Fairyland Loop Trail,,Fairyland Loop Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,Bryce Canyon National Park,2015-12-07T00:00:00.000Z,Autonomous GPS,Unknown,,Unknown,Yes,b79bcd9d-53ec-4838-a4af-f7e258803987
117,Horse Trail,,Horse Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Pack/Saddle,BRCA,Bryce Canyon National Park,2015-12-07T00:00:00.000Z,Autonomous GPS,Unknown,,Unknown,Yes,c9186635-4466-4c47-84cd-e3dcd3b61c5c
118,Mossy Cave Trail,,Mossy Cave Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,Bryce Canyon National Park,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,5768a2af-d776-4934-8635-9badb5570fb2
