OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,UNITNAME,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
12,Maze Overlook Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian | Bicycle,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,cf873739-609a-490b-b287-9aced713c4ac
13,Doll House Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,<Null>,2014-07-31T00:00:00.000Z,,Yes,96a16014-0c27-4ad4-aa12-c8627a3aa47b
14,Doll House Cutoff Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,00e50509-e656-4782-a2b9-9e1929da7981
15,Doll House Campground Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,eef8a982-9e3d-442a-82bd-1e9022b8c161
16,Doll House South Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,83cc16ce-83b3-410e-aa98-b0c31bd1c910
17,Elephant Hill Road,Devils Pocket Road,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,cf793f67-fd68-49cf-b842-17dd00d15e6c
18,Devils Lane Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,UNKN,,,,Yes,e947446e-7240-43f1-9c71-61927a461cac
19,Colorado River Overlook Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,60dac388-0ec9-48ee-9dc3-bc81467e217a
20,Cave Springs Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,f2e5cd54-e173-4a11-8e6d-e76d2bb9f8b6
21,Confluence Overlook Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,619e3d24-ae98-4c32-b345-f4e342483edb
22,Cyclone Canyon Trail,<Null>,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,92159e1c-e66e-4d50-8f07-45a16763745b
23,Horse Canyon Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian | Bicycle,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,5fa3a088-93f1-47ce-94c2-8effe6c43b5c
24,Elephant Hill Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,b2fa7e00-dbed-4f2c-b260-92517a74c763
25,Lathrop Canyon Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,08c32edb-a3b2-4091-a7cb-5a872eaaadb3
