OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,UNITNAME,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
1,Grand Wash Trail,,Grand Wash Trail,Park Trail,Existing,Native,Standard Terra Trail,,Hiker/Pedestrian,CARE,Capitol Reef National Park,2015-04-10T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,Unknown,Yes,58a85c87-5df3-4b83-8676-822e21538145
2,Burro Wash,,Burro Wash,Unmaintained Trail,Existing,Native,Standard Terra Trail,,Hiker/Pedestrian,CARE,Capitol Reef National Park,, ,,,Unknown,Yes,77af19b5-d01d-47b1-bfa7-6dea0162852f
3,Capitol Gorge,,Capitol Gorge,Park Trail,Existing,Native,Standard Terra Trail,,Hiker/Pedestrian,CARE,Capitol Reef National Park,, ,,,Unknown,Yes,cf78887e-a28c-4061-a2d3-a231f523f824
4,Capitol Gorge Spur Trail to Tanks,,Capitol Gorge Spur Trail to Tanks,Park Trail,Existing,Native,Standard Terra Trail,,Hiker/Pedestrian,CARE,Capitol Reef National Park,, ,,,Unknown,Yes,ae81a422-61bd-4e7f-bc10-ffa01fb7f357
5,Cassidy Arch,,Cassidy Arch,Park Trail,Existing,Native,Standard Terra Trail,,Hiker/Pedestrian,CARE,Capitol Reef National Park,, ,,,Unknown,Yes,af3e5551-bcb6-4c07-8838-79c4149be309
6,Cathedrals,,Cathedrals,Park Trail,Existing,Native,Standard Terra Trail,,Hiker/Pedestrian,CARE,Capitol Reef National Park,, ,,,Unknown,Yes,76da4294-6683-4a20-a422-6f3c70ac3ea1
7,Chimney Rock Canyon,,Chimney Rock Canyon,Unmaintained Trail,Existing,Native,Standard Terra Trail,,Hiker/Pedestrian,CARE,Capitol Reef National Park,, ,,,Unknown,Yes,5c1bec1c-d89f-44cd-94bb-a9a15d5d4a1a
8,Chimney Rock Loop,,Chimney Rock Loop,Park Trail,Existing,Native,Standard Terra Trail,,Hiker/Pedestrian,CARE,Capitol Reef National Park,, ,,,Unknown,Yes,8163eb58-7ab8-4316-94ff-d0d8a22c9640
9,Cohab Canyon,,Cohab Canyon,Park Trail,Existing,Native,Standard Terra Trail,,Hiker/Pedestrian,CARE,Capitol Reef National Park,, ,,,Unknown,Yes,f4ce2fbf-0a58-4a34-93b7-15b6b8ab6b56
10,Cohab Canyon Fruita Overlooks,,Cohab Canyon Fruita Overlooks,Park Trail,Existing,Native,Standard Terra Trail,,Hiker/Pedestrian,CARE,Capitol Reef National Park,, ,,,Unknown,Yes,e4e22b9d-b5fc-4b0e-a403-b5b6d7086cbf
11,Cottonwood Wash,,Cottonwood Wash,Unmaintained Trail,Existing,Native,Standard Terra Trail,,Hiker/Pedestrian,CARE,Capitol Reef National Park,, ,,,Unknown,Yes,32b22039-8dc5-49a3-9ac0-97cdf588a19f
12,Fremont Gorge Overlook,,Fremont Gorge Overlook,Park Trail,Existing,Native,Standard Terra Trail,,Hiker/Pedestrian,CARE,Capitol Reef National Park,, ,,,Unknown,Yes,9d431ae0-4498-4a9a-8ede-d6d027ad19f7
13,Golden Throne,,Golden Throne,Park Trail,Existing,Native,Standard Terra Trail,,Hiker/Pedestrian,CARE,Capitol Reef National Park,, ,,,Unknown,Yes,7f6e63e4-7bcf-426e-84e2-1d9532798039
14,Goosenecks Overlook,,Goosenecks Overlook,Park Trail,Existing,Native,Standard Terra Trail,,Hiker/Pedestrian,CARE,Capitol Reef National Park,, ,,,Unknown,Yes,e31de698-59a5-432b-a045-ca5792584bfc
15,Halls Creek and Narrows,,Halls Creek and Narrows,Unmaintained Trail,Existing,Native,Standard Terra Trail,,Hiker/Pedestrian,CARE,Capitol Reef National Park,, ,,,Unknown,Yes,788c3c35-c49b-4ccf-9a5a-a676ce4fdd9f
16,Headquarters Canyon,,Headquarters Canyon,Unofficial Trail,Existing,Native,Standard Terra Trail,,Hiker/Pedestrian,CARE,Capitol Reef National Park,, ,,,Unknown,Yes,5ad1b52c-fc5c-49d5-8261-14eb40489338
