OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,UNITNAME,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
1,Campground Trail,,Campground Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,CEBR,Cedar Breaks National Monument,2015-11-19T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,cd1f5bd0-b502-4279-a423-fc1944f233e9
2,Rattlesnake Traril,,Rattlesnake Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,CEBR,Cedar Breaks National Monument,2015-11-19T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,83404245-5c16-4d40-99c5-060c2b14616f
3,North Rim Ski Trail,,North Rim Ski Trail,Park Trail,Existing,Snow (only),Snow Trail,Unknown,Hiker/Pedestrian,CEBR,Cedar Breaks National Monument,2015-11-19T00:00:00.000Z,Differential GPS,,2004-12-18T00:00:00.000Z,,Yes,751bb2ec-713e-4d98-834e-3b47e0ca453b
4,Spectra Point/Ramparts Trail,,Spectra Point/Ramparts Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,CEBR,Cedar Breaks National Monument,2015-11-19T00:00:00.000Z,Differential GPS,,2004-10-07T00:00:00.000Z,,Yes,eacbd00e-9092-47e0-873d-977860e419ef
5,Alpine Pond Trail,,Alpine Pond Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,CEBR,Cedar Breaks National Monument,2015-11-19T00:00:00.000Z,Differential GPS,,2004-10-15T00:00:00.000Z,,Yes,d7569fa1-67b0-4356-8fff-ce5f009b93ea
6,Handicap Restroom Access Walkway,,Handicap Restroom Access Walkway,Park Trail,Existing,Asphalt,Standard Terra Trail,Trail Class 5: Fully Developed,Hiker/Pedestrian,CEBR,Cedar Breaks National Monument,2015-11-19T00:00:00.000Z,Autonomous GPS,,2004-11-13T00:00:00.000Z,,Yes,ffad3fff-a9a3-4b16-aaff-0446334f66f7
7,Campground Restroom Access Walkway,,Campground Restroom Access Walkway,Park Trail,Existing,Asphalt,Standard Terra Trail,Trail Class 5: Fully Developed,Hiker/Pedestrian,CEBR,Cedar Breaks National Monument,2015-11-19T00:00:00.000Z,Autonomous GPS,,2004-11-13T00:00:00.000Z,,Yes,b1fa4e3d-b6b1-488c-81ad-d22644f1d6fd
8,Campground Restroom Access Walkway,,Campground Restroom Access Walkway,Park Trail,Existing,Asphalt,Standard Terra Trail,Trail Class 5: Fully Developed,Hiker/Pedestrian,CEBR,Cedar Breaks National Monument,2015-11-19T00:00:00.000Z,Autonomous GPS,,2004-11-13T00:00:00.000Z,,Yes,9d8a69dc-50f1-4b05-b748-74a5a1db1219
9,Amphitheater Access Walkway,,Amphitheater Access Walkway,Park Trail,Existing,Asphalt,Standard Terra Trail,Trail Class 5: Fully Developed,Hiker/Pedestrian,CEBR,Cedar Breaks National Monument,2015-11-19T00:00:00.000Z,Autonomous GPS,,2004-11-13T00:00:00.000Z,,Yes,5232590e-0f1f-4959-8411-e2312450a04d
10,Chessmen Ridge Overlook Access Walkway,,Chessmen Ridge Overlook Access Walkway,Park Trail,Existing,Asphalt,Standard Terra Trail,Trail Class 5: Fully Developed,Hiker/Pedestrian,CEBR,Cedar Breaks National Monument,2015-11-19T00:00:00.000Z,Autonomous GPS,,2004-10-08T00:00:00.000Z,,Yes,3cba66e3-8664-4f0b-9b32-e2798be468a4
11,Northview Overlook Walkway,,Northview Overlook Walkway,Park Trail,Existing,Asphalt,Standard Terra Trail,Trail Class 5: Fully Developed,Hiker/Pedestrian,CEBR,Cedar Breaks National Monument,2015-11-19T00:00:00.000Z,Autonomous GPS,,2004-09-02T00:00:00.000Z,,Yes,aa7590ee-4f12-4346-967b-67a6b754a1c9
12,Point Supreme Walkway,,Point Supreme Walkway,Park Trail,Existing,Asphalt,Standard Terra Trail,Trail Class 5: Fully Developed,Hiker/Pedestrian,CEBR,Cedar Breaks National Monument,2015-11-19T00:00:00.000Z,Autonomous GPS,,,,Yes,1a03a1bf-21c6-4dac-a3d5-16a7ab2e248f
13,Visitor Center Access Trail,,Visitor Center Access Trail,Park Trail,Existing,Asphalt,Standard Terra Trail,Trail Class 5: Fully Developed,Hiker/Pedestrian,CEBR,Cedar Breaks National Monument,2015-11-19T00:00:00.000Z,Autonomous GPS,,,,Yes,87cc212f-57bc-48b8-b8e8-9a6140b80281
14,Snowmobile Trail    ,,Snowmobile Trail    ,Park Trail,Existing,Snow (only),Snow Trail,Unknown,Snowmobile,CEBR,Cedar Breaks National Monument,2015-11-19T00:00:00.000Z,Differential GPS,,,,Yes,5eb7cbbb-396e-4fb6-9608-7157df037969
