OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,UNITNAME,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
1,Ruple Point Trail,,Ruple Point Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,Dinosaur National Monument,,Digitized,NAIP 2014,2014-07-31T00:00:00.000Z,> 5 m and <= 10 m,Yes,7bf4994f-b030-4891-8ac6-19ef14016984
2,Gates of Lodore Trail,,Gates of Lodore Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,Dinosaur National Monument,,Heads-Up Digitized,ESRI Imagery,2015-01-01T00:00:00.000Z,> 5 m and <= 10 m,Yes,eaf455bb-4039-4011-b4e2-a9996d9d28b0
3,Harper's Corner Trail,,Harpers Corner Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,Dinosaur National Monument,,Heads-Up Digitized,ESRI Imagery,,Unknown,Yes,e013e111-cd3e-421f-b637-0a855074d783
4,Trail,,Trail,Unmaintained Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,Dinosaur National Monument,,Digitized,NAIP 2014,2014-07-31T00:00:00.000Z,> 5 m and <= 10 m,Yes,99d2c349-4533-4f5c-ac63-ee541d210944
6,Wagon Wheel Trail,,Wagon Wheel Trail,Unmaintained Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,Dinosaur National Monument,,Differential GPS,Geo 7x,2015-10-16T00:00:00.000Z,> 1 m and <= 5 m,Yes,cb286a5d-d8bb-43e3-9f3c-9b64060b782e
7,McKee Springs Petroglyph Trail,,McKee Springs Petroglyph Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,Dinosaur National Monument,,Digitized,NAIP 2014,2014-07-31T00:00:00.000Z,> 5 m and <= 10 m,Yes,4c2558e3-2836-4329-bf38-d279dd2c7acb
8,Jones Hole Trail,,Jones Hole Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,Dinosaur National Monument,,Digitized,ESRI Imagery,2014-07-31T00:00:00.000Z,> 5 m and <= 10 m,Yes,0b1716b4-e45e-4d46-ace2-e5c21250cfa2
9,Castle Park Overlook Trail,,Castle Park Overlook Trail,Unmaintained Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,Dinosaur National Monument,,Differential GPS,Geo 7x,2015-10-16T00:00:00.000Z,> 1 m and <= 5 m,Yes,de4200e1-d385-4a37-8ee3-636d4725091a
11,Echo Park Trail,,Echo Park Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,Dinosaur National Monument,,Differential GPS,Geo 7x,2015-10-16T00:00:00.000Z,> 15 cm and <= 1 m,Yes,c040747f-b985-4c92-b86d-5a711d165137
12,Baker Spring Trail,,Baker Spring Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,Dinosaur National Monument,,Differential GPS,Geo 7x,2015-10-16T00:00:00.000Z,> 15 cm and <= 1 m,Yes,c2b47351-edf3-4cf7-8711-ca160b614c8f
