OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,UNITNAME,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
1,Roost Road,,Roost Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,8e581b8a-66dd-462f-a63c-1ed0e2934cdd
2,Orange Cliffs Trail,,Orange Cliffs Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,27baa4ff-3dfd-45e0-b7ec-93e69cf5a318
3,Cleopatra Chair Trail,Road 775,Cleopatra Chair Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,b31ce872-9e41-40f9-8b37-faea1b169f61
4,Panorama Point Trail,Road 774,Panorama Point Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,c2f552bc-1186-44a8-8977-41fd5c35dd6c
5,Panorama Point Way,Road 744,Panorama Point Way,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,af3faf1c-5c4e-4cde-b413-bc78d402ac8e
6,French Spring Road,,French Spring Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,40ed5baf-eb39-4d73-9170-ac642950965b
7,Sit Down Bench Trail,Road 230,Sit Down Bench Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,4704beda-b58e-4533-aadc-7ff2913c3990
8,Alstrom Point Trail,Road 264,Alstrom Point Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian|Bicycle,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,414a5d20-801f-4468-bec9-44b9f3f8bb70
9,Grand Bench Trail,Road 262,Grand Bench Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,a2637fc6-e8b3-43d5-9087-5fb723568115
10,Alstrom Point Access Trail,,Alstrom Point Access Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,c44e67f3-da60-41a7-83f4-949d989c7149
