OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,UNITNAME,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
1,Ruins Loop Trail,,Ruins Loop Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,HOVE,Hovenweep National Monument,2015-10-07T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,3cd84d11-33d9-4ce6-9ae1-557f2b9823ed
2,Path to Campground,,Path to Campground,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,HOVE,Hovenweep National Monument,2015-10-07T00:00:00.000Z,Unknown,,2015-04-06T00:00:00.000Z,,Yes,504c3564-dfe7-484e-a2ad-2c067cf75f58
3,Cajon Trail,,Cajon Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,HOVE,Hovenweep National Monument,2015-10-07T00:00:00.000Z,Differential GPS,,,,Yes,11affd89-b5a6-4adb-87d8-d52f123b41b4
4,Path to Comfort Station,,Path to Comfort Station,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,HOVE,Hovenweep National Monument,2015-10-07T00:00:00.000Z,Differential GPS,,,,Yes,14e6a7a8-53a0-45f3-a313-b9a27321d917
5,Holly Trail,,Holly Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,HOVE,Hovenweep National Monument,2015-10-07T00:00:00.000Z,Differential GPS,,,,Yes,7759cac0-1630-4eb4-9161-bfff1e06a6a5
6,Horseshoe-Hackberry Trail,,Horseshoe-Hackberry Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,HOVE,Hovenweep National Monument,2015-10-07T00:00:00.000Z,Differential GPS,,,,Yes,ba9f8399-448a-4717-b251-2328d7cd5fbe
7,Hackberry Trail,,Hackberry Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,HOVE,Hovenweep National Monument,2015-10-07T00:00:00.000Z,Differential GPS,,,,Yes,90371819-5497-47df-9052-d58d8f1f115d
9,Path to Comfort Station,,Path to Comfort Station,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,HOVE,Hovenweep National Monument,2015-10-07T00:00:00.000Z,Differential GPS,,,,Yes,96ed3a8c-b9ff-4761-8d1b-07fd9a1e3efb
10,Visitor Center Trail,,Visitor Center Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,HOVE,Hovenweep National Monument,2015-10-07T00:00:00.000Z,Differential GPS,,,,Yes,caf14c34-5c0c-4ebc-a531-1129b0d1610c
12,Path to Comfort Station,,Path to Comfort Station,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,HOVE,Hovenweep National Monument,2015-10-07T00:00:00.000Z,Differential GPS,,,,Yes,1cdfdd95-d29d-42f6-ab92-4525fcf8f85c
13,Cutthroat Trail,,Cutthroat Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,HOVE,Hovenweep National Monument,2015-10-07T00:00:00.000Z,Differential GPS,,,,Yes,cc71da47-5ae3-4635-a813-8d18318da718
14,Trail From Upper Parking Area,,Trail From Upper Parking Area,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,HOVE,Hovenweep National Monument,2015-10-07T00:00:00.000Z,Differential GPS,,,,Yes,27dc9012-95e1-487b-a61a-32bbcaa0c6d5
15,Holly Trail,,Holly Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,HOVE,Hovenweep National Monument,2015-10-07T00:00:00.000Z,Differential GPS,,,,Yes,9d0b8d39-a232-447e-9733-dad0d223069a
16,Path to Square Tower Amphitheatre,,Path to Square Tower Amphitheatre,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,HOVE,Hovenweep National Monument,2015-10-07T00:00:00.000Z,Differential GPS,,,,Yes,d33739a4-a2b0-4fa8-9795-9bb3269e10df
17,Path to Square Tower Campground,,Path to Square Tower Campground,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,HOVE,Hovenweep National Monument,2015-10-07T00:00:00.000Z,Differential GPS,,,,Yes,7eb68ef6-32ce-4927-bbc0-fc22885fa50a
18,Ranger Tours Only,,Ranger Tours Only,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,HOVE,Hovenweep National Monument,2015-10-07T00:00:00.000Z,Differential GPS,,,,Yes,e0cd1f37-b89f-4a19-a508-2b8bfb2fd11b
20,Ranger Tours Only,,Ranger Tours Only,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,HOVE,Hovenweep National Monument,2015-10-07T00:00:00.000Z,Differential GPS,,,,Yes,e43dd338-a22e-4bad-bfe0-4a9307905884
21,Rim Trail,,Rim Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,HOVE,Hovenweep National Monument,2015-10-07T00:00:00.000Z,Differential GPS,,,,Yes,2e57c490-dbfa-4302-8c23-00a97761708c
