OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,UNITNAME,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
1,Trail,,Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,NABR,NABR ,2015-09-28T15:52:39.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,049e8619-dc82-43a6-83ab-992ec0c1096d
2,Horsecollar Ruin Overlook Trail,,Horsecollar Ruin Overlook Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,NABR,NABR ,2015-09-28T15:52:39.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,99f3b9c8-0695-4d6b-935e-3bb192be1631
3,Trail,,Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,NABR,NABR ,2015-09-28T15:52:39.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,3bbde233-53df-4c74-8cbc-9935c7434a07
5,Kachina Bridge Overlook Trail,<Null>,Kachina Bridge Overlook Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,NABR,NABR ,2015-09-28T15:52:39.000Z,Differential GPS,,2002-11-26T00:00:00.000Z,,Yes,0460e4cc-dfdf-4ff9-9c02-dd8e77f65074
6,Kachina Bridge Trail,<Null>,Kachina Bridge Trail,Unmaintained Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,NABR,NABR ,2015-09-28T15:52:39.000Z,Differential GPS,,2002-11-26T00:00:00.000Z,,Yes,c87be382-37e2-4065-b85e-8bf2701b8f84
7,Sipapu Trail,<Null>,Sipapu Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,NABR,NABR ,2015-09-28T15:52:39.000Z,Differential GPS,,2004-10-05T00:00:00.000Z,,Yes,1f1f74e0-d48f-4631-bc6e-969eceecaa9d
8,Owachomo Bridge Trail,<Null>,Owachomo Bridge Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,NABR,NABR ,2015-09-28T15:52:39.000Z,Differential GPS,,2004-10-05T00:00:00.000Z,,Yes,4c53d963-b6e8-4e46-bfe3-87830d1b14d9
9,Junction to Kachina Trail,<Null>,Junction to Kachina Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,NABR,NABR ,2015-09-28T15:52:39.000Z,Differential GPS,,2004-10-05T00:00:00.000Z,,Yes,a5aa6a45-fefe-480e-93cb-5c4b27f3c2f5
10,Owachomo Bridge Trail,<Null>,Owachomo Bridge Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,NABR,NABR ,2015-09-28T15:52:31.000Z,Differential GPS,,2004-10-05T00:00:00.000Z,,Yes,d3897f59-b976-4a3f-80d2-5d30360e8e5f
11,Owachomo Bridge Trail,<Null>,Owachomo Bridge Trail,Unmaintained Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,NABR,NABR ,2015-09-28T15:52:39.000Z,Differential GPS,,2004-10-05T00:00:00.000Z,,Yes,9a9d9a43-dcc0-4bff-a4e5-b2a7caf705c2
12,Owachomo Bridge Trail,<Null>,Owachomo Bridge Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,NABR,NABR ,2015-09-28T15:52:39.000Z,Differential GPS,,2004-10-05T00:00:00.000Z,,Yes,7e596b31-a64d-4fa3-ac93-a3205f45ee65
13,Sipapu to Kachina Trail,<Null>,Sipapu to Kachina Trail,Unmaintained Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,NABR,NABR ,2015-09-28T15:52:39.000Z,Differential GPS,,2004-10-05T00:00:00.000Z,,Yes,68fdbd1d-7024-4fa6-bc61-9527b83be5b2
14,Sipapu Trail,<Null>,Sipapu Trail,Unmaintained Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,NABR,NABR ,2015-09-28T15:52:39.000Z,Differential GPS,,2002-11-26T00:00:00.000Z,,Yes,a434132d-8380-422b-befb-7652b3b6ae2e
