OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,UNITNAME,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
1,The Subway (bottom),Unimproved route,The Subway (bottom),Unmaintained Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2004-08-18T00:00:00.000Z,,Yes,9e72b743-b261-41d9-b395-7133abb22203
2,West Rim Trail,,West Rim Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-07-30T00:00:00.000Z,,Yes,c7a23372-73f0-4244-b03e-59313d435031
4,Trail,,Trail,Unmaintained Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2005-07-11T00:00:00.000Z,,Yes,c2b01ad3-9c49-42f6-a611-310f6a9ec693
9,Upper Emerald Pools Trail,,Upper Emerald Pools Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-07-01T00:00:00.000Z,,Yes,1a9688c7-c47d-4f3d-9776-d136fd47d467
10,Watchman,,Watchman,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,e83146cb-db2e-4199-8969-9ea8c0147494
11,Court of Patriarchs Overview Trail,,Court of Patriarchs Overview Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-06-20T00:00:00.000Z,,Yes,c823162e-76bf-41dd-badd-b868794f1eed
12,Sawmill Springs Trail,,Sawmill Springs Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian | Equestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-08-22T00:00:00.000Z,,Yes,7c2fb642-0587-4f7a-9414-4f8289886f69
13,Dalton Wash Trail,,Dalton Wash Trail,Unmaintained Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2004-05-20T00:00:00.000Z,,Yes,0290f8b8-8408-467e-bf46-645eeb66d2c8
19,Museum Trail,,Museum Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2004-11-14T00:00:00.000Z,,Yes,c38a246a-9f8a-4a9d-8249-3a60d0abbdbe
20,Archeology Trail,,Archeology Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2006-11-15T00:00:00.000Z,,Yes,f4fc85cc-facc-4653-a27e-770d4d1fa9da
26,Footbridge Trail,,Footbridge Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-07-30T00:00:00.000Z,,Yes,c33ba434-2ca7-4da5-be78-70456ddc752f
30,Sand Bench Trail,,Sand Bench Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian | Equestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2005-05-12T00:00:00.000Z,,Yes,84f7ebc4-3744-48c3-a590-c1cd5a6e11af
31,Chinle,,Chinle,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian | Equestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-08-12T00:00:00.000Z,,Yes,15d08470-4014-4a7d-98ad-b4591613c282
40,East Mesa Trail,,East Mesa Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian | Equestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-06-27T00:00:00.000Z,,Yes,848399af-8dfd-4cfe-ab6b-0fc95b5857b0
41,Access to Grotto Trail,,Access to Grotto Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2005-06-23T00:00:00.000Z,,Yes,0e66ecce-4ef5-49ba-8934-b0e99e3f0750
42,Weeping Rock,,Weeping Rock,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,4b522fc3-eddc-4714-a107-f92230825f9a
44,Cable Mountain,,Cable Mountain,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian | Equestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-08-12T00:00:00.000Z,,Yes,f6728d29-7e1f-41de-a74e-de2ab841840b
45,Upper Kayenta Trail,,Upper Kayenta Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-07-01T00:00:00.000Z,,Yes,6a97a8a0-7c27-444f-b65d-f2f0115f1ff6
46,Lower Kayenta Trail,,Lower Kayenta Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-07-01T00:00:00.000Z,,Yes,f94764a9-155d-49db-80f0-aee7e5f96c24
47,Left Fork (Subway),Unimproved route,Left Fork (Subway),Unmaintained Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Unknown,,2010-05-05T00:00:00.000Z,,Yes,9bac547a-32d6-4168-8940-ee78e220347b
48,Telephone Canyon,,Telephone Canyon,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Unknown,,2015-04-03T00:00:00.000Z,,Yes,a5fae2b5-f161-4194-bc60-a3b4841f8063
50,Canyon Overlook Trail,,Canyon Overlook Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2005-07-18T00:00:00.000Z,,Yes,af880d7d-e0c9-4952-9fa1-8ed18b9b0980
53,Middle Taylor Creek Trail,,Middle Taylor Creek Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2007-08-03T00:00:00.000Z,,Yes,bbac52ac-cb3d-406f-9e78-ee3f77d1f417
