NationalParkName,OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
Arches National Park,4,Double O Arch Trail,,Double O Arch Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,372f5718-c8f4-47d9-af19-2bce73790c70
Arches National Park,6,Broken Arch Trail,,Broken Arch Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,8cfebbbc-538f-4044-ac27-e8cb5ffe4a16
Arches National Park,10,Upper Delicate Arch Viewpoint Trail,,Upper Delicate Arch Viewpoint Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Autonomous GPS,,,,Yes,e6f42775-cd1a-41ac-91d0-b61b39c5a4c0
Arches National Park,11,Devils Garden Trail,,Devils Garden Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,60c79b65-4030-40d2-b2ea-bc034dac6194
Arches National Park,12,Partition Arch Trail,,Partition Arch Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,a3dfd414-d486-4152-94de-38edd2387d91
Arches National Park,13,Navajo Arch Trail,,Navajo Arch Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,34e5cede-236d-4af1-a766-57fb31e2d628
Arches National Park,14,Tunnel Arch Trail,,Tunnel Arch Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,78c89a18-c5a2-4ce7-8591-aff4f20fc454
Arches National Park,15,Pine Tree Arch Trail,,Pine Tree Arch Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,5395e229-479a-4463-9bda-0b6d3de2255f
Arches National Park,16,Delicate Arch Viewpoint Trail,,Delicate Arch Viewpoint Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,49758568-1f3c-430b-bdbf-31b9d28e1a3e
Arches National Park,17,Delicate Arch Trail,,Delicate Arch Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Unknown,<Null>,,,Yes,54a5b0de-e9b7-4e49-bc35-cca96140a526
Arches National Park,29,Dark Angel Trail,,Dark Angel Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,59239c87-cbea-42dc-9f67-d23ebbfbf666
Arches National Park,30,Private Arch Trail,,Private Arch Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,8b4281dc-90bd-488e-a5cb-23367a79819f
Arches National Park,31,Devils Garden Primitive Loop Trail,,Devils Garden Primitive Loop Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,cb91d5fc-8a58-4359-9bb8-77014c1a6b46
Arches National Park,32,Park Avenue Trail,,Park Avenue Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,959ff60c-2afa-418e-ad7e-940b50b3abf8
Arches National Park,35,Balanced Rock Trail,,Balanced Rock Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Differential GPS,,2000-09-08T00:00:00.000Z,,Yes,01ea69d0-8e03-48e9-a52d-fe16b8ac101b
Arches National Park,39,Windows Loop Trail,,Windows Loop Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,58759890-6149-4bcd-93bd-7135639ae839
Arches National Park,41,Skyline Arch Trail,,Skyline Arch Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,0c2cb148-f52a-4c07-b10e-3aae866863ea
Arches National Park,42,Landscape Arch Trail,,Landscape Arch Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,792409ea-0ce9-4feb-a88b-f5a6737b05e9
Arches National Park,43,Sand Dune Trail,Broken Arch Access Trail,Sand Dune Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Differential GPS,,,,Yes,f33f108b-b133-4d49-8673-474382ba4f4e
Arches National Park,46,Double Arch Trail,Parade Of Elephants Trail,Double Arch Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,4a0946af-d944-4620-885d-02cb023f7e4b
Arches National Park,47,Lower Delicate Arch Viewpoint Trail,<Null>,Lower Delicate Arch Viewpoint Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,ed7ddf37-2de6-476c-b8ed-da72bf237a2b
Arches National Park,56,Klondike Bluffs Trail,,Klondike Bluffs Trail,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,,2015-10-02T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,34462cd0-2266-40b6-b23f-43cdaa704c2a
Bryce Canyon National Park,102,Navajo Loop Trail,,Navajo Loop Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,92f55a4f-34ec-4ce3-843a-34f3b7e58021
Bryce Canyon National Park,103,Sheep Creek Trail,,Sheep Creek Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,00f8077b-2102-47e2-86a4-42375cf404f0
Bryce Canyon National Park,104,Swamp Canyon Connect Trail,,Swamp Canyon Connect Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,dc021c74-af2a-411b-b1b8-c95816426160
Bryce Canyon National Park,105,Swamp Canyon Loop Trail,,Swamp Canyon Loop Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,4a40accd-da23-4340-914d-1cfe14a00254
Bryce Canyon National Park,106,Tower Bridge Trail,,Tower Bridge Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,33705fe6-a62e-44ea-8124-bdb8927394b2
